Scientific Name,Status
Abies alba,In both app and Natuurpunt
Accipiter nisus,In both app and Natuurpunt
Acer campestre,In both app and Natuurpunt
Acer platanoides,In both app and Natuurpunt
Acer pseudoplatanus,In both app and Natuurpunt
Acherontia atropos,In both app and Natuurpunt
Achillea millefolium,In both app and Natuurpunt
Adalia bipunctata,In both app and Natuurpunt
Aegithalos caudatus,In both app and Natuurpunt
Aegopodium podagraria,In both app and Natuurpunt
Aesculus hippocastanum,In both app and Natuurpunt
Aeshna cyanea,In both app and Natuurpunt
Aeshna juncea,In both app and Natuurpunt
Agaricus campestris,In both app and Natuurpunt
Aglais io,In both app and Natuurpunt
Agrimonia eupatoria,In both app and Natuurpunt
Ajuga reptans,In both app and Natuurpunt
Alauda arvensis,In both app and Natuurpunt
Alcedo atthis,In both app and Natuurpunt
Aleuria aurantia,In both app and Natuurpunt
Alliaria petiolata,In both app and Natuurpunt
Allium oleraceum,In both app and Natuurpunt
Allium ursinum,In both app and Natuurpunt
Alnus glutinosa,In both app and Natuurpunt
Alnus incana,In both app and Natuurpunt
Amanita muscaria,In both app and Natuurpunt
Amaranthus retroflexus,In both app and Natuurpunt
Anas platyrhynchos,In both app and Natuurpunt
Anemone nemorosa,In both app and Natuurpunt
Anethum graveolens,In both app and Natuurpunt
Angelica sylvestris,In both app and Natuurpunt
Anguis fragilis,In both app and Natuurpunt
Anser anser,In both app and Natuurpunt
Anthocharis cardamines,In both app and Natuurpunt
Anthriscus sylvestris,In both app and Natuurpunt
Anthus pratensis,In both app and Natuurpunt
Anthyllis vulneraria,In both app and Natuurpunt
Apis mellifera,In both app and Natuurpunt
Apus apus,In both app and Natuurpunt
Arctium lappa,In both app and Natuurpunt
Arctium minus,In both app and Natuurpunt
Ardea cinerea,In both app and Natuurpunt
Armillaria mellea,In both app and Natuurpunt
Armoracia rusticana,In both app and Natuurpunt
Artemisia absinthium,In both app and Natuurpunt
Artemisia vulgaris,In both app and Natuurpunt
Asparagus officinalis,In both app and Natuurpunt
Auricularia auricula-judae,In both app and Natuurpunt
Aythya fuligula,In both app and Natuurpunt
Barbarea vulgaris,In both app and Natuurpunt
Bellis perennis,In both app and Natuurpunt
Berberis vulgaris,In both app and Natuurpunt
Betonica officinalis,In both app and Natuurpunt
Betula pendula,In both app and Natuurpunt
Betula pubescens,In both app and Natuurpunt
Boletus edulis,In both app and Natuurpunt
Bombus pascuorum,In both app and Natuurpunt
Bombus terrestris,In both app and Natuurpunt
Brassica rapa,In both app and Natuurpunt
Buddleja davidii,In both app and Natuurpunt
Bufo bufo,In both app and Natuurpunt
Bunium bulbocastanum,In both app and Natuurpunt
Buteo buteo,In both app and Natuurpunt
Buxus sempervirens,In both app and Natuurpunt
Calluna vulgaris,In both app and Natuurpunt
Caltha palustris,In both app and Natuurpunt
Campanula patula,In both app and Natuurpunt
Cantharellus cibarius,In both app and Natuurpunt
Capreolus capreolus,In both app and Natuurpunt
Capsella bursa-pastoris,In both app and Natuurpunt
Cardamine amara,In both app and Natuurpunt
Cardamine hirsuta,In both app and Natuurpunt
Cardamine pratensis,In both app and Natuurpunt
Carduus crispus,In both app and Natuurpunt
Carduus nutans,In both app and Natuurpunt
Carpinus betulus,In both app and Natuurpunt
Carum carvi,In both app and Natuurpunt
Castanea sativa,In both app and Natuurpunt
Castor fiber,In both app and Natuurpunt
Centaurea cyanus,In both app and Natuurpunt
Centaurea jacea,In both app and Natuurpunt
Centaurea scabiosa,In both app and Natuurpunt
Cerastium fontanum,In both app and Natuurpunt
Chenopodium album,In both app and Natuurpunt
Cichorium endivia,In both app and Natuurpunt
Cichorium intybus,In both app and Natuurpunt
Circaea lutetiana,In both app and Natuurpunt
Cirsium vulgare,In both app and Natuurpunt
Claytonia perfoliata,In both app and Natuurpunt
Clematis vitalba,In both app and Natuurpunt
Coccinella septempunctata,In both app and Natuurpunt
Cochlearia officinalis,In both app and Natuurpunt
Columba palumbus,In both app and Natuurpunt
Consolida ajacis,In both app and Natuurpunt
Convallaria majalis,In both app and Natuurpunt
Convolvulus arvensis,In both app and Natuurpunt
Coprinus comatus,In both app and Natuurpunt
Cornus mas,In both app and Natuurpunt
Cornus sanguinea,In both app and Natuurpunt
Corvus corax,In both app and Natuurpunt
Corvus corone,In both app and Natuurpunt
Corylus avellana,In both app and Natuurpunt
Crataegus monogyna,In both app and Natuurpunt
Crepis capillaris,In both app and Natuurpunt
Crocus vernus,In both app and Natuurpunt
Cuculus canorus,In both app and Natuurpunt
Cyanistes caeruleus,In both app and Natuurpunt
Cygnus olor,In both app and Natuurpunt
Dactylorhiza maculata,In both app and Natuurpunt
Daldinia concentrica,In both app and Natuurpunt
Datura stramonium,In both app and Natuurpunt
Daucus carota,In both app and Natuurpunt
Dendrocopos major,In both app and Natuurpunt
Digitalis purpurea,In both app and Natuurpunt
Diplotaxis tenuifolia,In both app and Natuurpunt
Dipsacus fullonum,In both app and Natuurpunt
Echium vulgare,In both app and Natuurpunt
Elymus repens,In both app and Natuurpunt
Emberiza citrinella,In both app and Natuurpunt
Episyrphus balteatus,In both app and Natuurpunt
Eptesicus serotinus,In both app and Natuurpunt
Equisetum arvense,In both app and Natuurpunt
Erica tetralix,In both app and Natuurpunt
Erigeron canadensis,In both app and Natuurpunt
Erinaceus europaeus,In both app and Natuurpunt
Erithacus rubecula,In both app and Natuurpunt
Euphorbia amygdaloides,In both app and Natuurpunt
