Scientific Name,Status
Acinos arvensis,Only in app
Alchemilla vulgaris,Only in app
Anthericum ramosum,Only in app
Beta vulgaris subsp. vulgaris,Only in app
Bistorta officinalis,Only in app
Calystegia sepium,Only in app
Chenopodium bonus-henricus,Only in app
Epilobium angustifolium,Only in app
Leontodon autumnalis,Only in app
Lychnis flos-cuculi,Only in app
Myosoton aquaticum,Only in app
Natrix natrix,Only in app
Parthenocissus inserta,Only in app
Reynoutria japonica,Only in app
Rosa canina,Only in app
Rubus fruticosus,Only in app
Salvia glutinosa,Only in app
Salvia rosmarinus,Only in app
Sanguisorba minor,Only in app
Veronica teucrium,Only in app
