Scientific Name,Status
Abax ovalis,Only in Natuurpunt
Abax parallelepipedus,Only in Natuurpunt
Abax parallelus,Only in Natuurpunt
Abdera biflexuosa,Only in Natuurpunt
Abelmoschus ficulneus,Only in Natuurpunt
Abia aenea,Only in Natuurpunt
Abia candens,Only in Natuurpunt
Abia fasciata,Only in Natuurpunt
Abia sericea,Only in Natuurpunt
Abida secale,Only in Natuurpunt
Abies grandis,Only in Natuurpunt
Abies homolepis,Only in Natuurpunt
Abies nordmanniana,Only in Natuurpunt
Abietinaria abietina,Only in Natuurpunt
Abietinella abietina,Only in Natuurpunt
Ablattaria laevigata,Only in Natuurpunt
Abludomelita obtusata,Only in Natuurpunt
Abortiporus biennis,Only in Natuurpunt
Abra alba,Only in Natuurpunt
Abra prismatica,Only in Natuurpunt
Abra tenuis,Only in Natuurpunt
Abrachyglossum capitatum,Only in Natuurpunt
Abramis brama,Only in Natuurpunt
Abraxas grossulariata,Only in Natuurpunt
Abraxas sylvata,Only in Natuurpunt
Abrostola asclepiadis,Only in Natuurpunt
Abrostola tripartita,Only in Natuurpunt
Abrostola triplasia,Only in Natuurpunt
Absconditella delutula,Only in Natuurpunt
Absconditella lignicola,Only in Natuurpunt
Absconditella sphagnorum,Only in Natuurpunt
Absyrtus vernalis,Only in Natuurpunt
Absyrtus vicinator,Only in Natuurpunt
Abutilon guineense,Only in Natuurpunt
Abutilon lepidum,Only in Natuurpunt
Abutilon malvifolium,Only in Natuurpunt
Abutilon nobile,Only in Natuurpunt
Abutilon oxycarpum,Only in Natuurpunt
Abutilon sonneratianum,Only in Natuurpunt
Abutilon theophrasti,Only in Natuurpunt
Acaena caesiiglauca,Only in Natuurpunt
Acaena magellanica,Only in Natuurpunt
Acaena microphylla,Only in Natuurpunt
Acalitus brevitarsus,Only in Natuurpunt
Acalitus calycophthirus,Only in Natuurpunt
Acalitus essigi,Only in Natuurpunt
Acalitus longisetosus,Only in Natuurpunt
Acalitus phyllereus,Only in Natuurpunt
Acalitus plicans,Only in Natuurpunt
Acalitus rudis,Only in Natuurpunt
Acalitus stenaspis,Only in Natuurpunt
Acalypha rhomboidea,Only in Natuurpunt
Acalypta carinata,Only in Natuurpunt
Acalypta musci,Only in Natuurpunt
Acalypta parvula,Only in Natuurpunt
Acanalonia conica,Only in Natuurpunt
Acanthinula aculeata,Only in Natuurpunt
Acanthiophilus helianthi,Only in Natuurpunt
Acanthis cabaret,Only in Natuurpunt
Acanthis flammea,Only in Natuurpunt
Acanthis hornemanni,Only in Natuurpunt
Acanthocardia echinata,Only in Natuurpunt
Acanthocardia paucicostata,Only in Natuurpunt
Acanthocardia tuberculata,Only in Natuurpunt
Acanthochondria limandae,Only in Natuurpunt
Acanthocinus aedilis,Only in Natuurpunt
Acanthocinus griseus,Only in Natuurpunt
Acanthodelphax spinosus,Only in Natuurpunt
Acanthodoris pilosa,Only in Natuurpunt
Acantholyda erythrocephala,Only in Natuurpunt
Acantholyda flaviceps,Only in Natuurpunt
Acantholyda hieroglyphica,Only in Natuurpunt
Acantholyda posticalis,Only in Natuurpunt
Acanthophiobolus helicosporus,Only in Natuurpunt
Acanthopsyche atra,Only in Natuurpunt
Acanthoscelides obtectus,Only in Natuurpunt
Acanthosoma haemorrhoidale,Only in Natuurpunt
Acanthospermum hispidum,Only in Natuurpunt
Acanthostigma minutum,Only in Natuurpunt
Acanthostigmella pellucida,Only in Natuurpunt
Acanthothrips nodicornis,Only in Natuurpunt
Acanthus hungaricus,Only in Natuurpunt
Acanthus mollis,Only in Natuurpunt
Acanthus spinosus,Only in Natuurpunt
Acarospora cervina,Only in Natuurpunt
Acarospora fuscata,Only in Natuurpunt
Acarospora moenium,Only in Natuurpunt
Acarospora veronensis,Only in Natuurpunt
Acarospora versicolor,Only in Natuurpunt
Acasis viretata,Only in Natuurpunt
Acaulon muticum,Only in Natuurpunt
Accipiter gentilis,Only in Natuurpunt
Acentria ephemerella,Only in Natuurpunt
Acer buergerianum,Only in Natuurpunt
Acer cappadocicum,Only in Natuurpunt
Acer circinatum,Only in Natuurpunt
Acer cissifolium,Only in Natuurpunt
Acer davidii,Only in Natuurpunt
Acer griseum,Only in Natuurpunt
Acer japonicum,Only in Natuurpunt
Acer macrophyllum,Only in Natuurpunt
Acer monspessulanum,Only in Natuurpunt
Acer negundo,Only in Natuurpunt
Acer palmatum,Only in Natuurpunt
Acer pensylvanicum,Only in Natuurpunt
Acer rubrum,Only in Natuurpunt
Acer rufinerve,Only in Natuurpunt
Acer saccharinum,Only in Natuurpunt
Acer tataricum,Only in Natuurpunt
Aceria artemisiae,Only in Natuurpunt
Aceria brachytarsus,Only in Natuurpunt
Aceria campestricola,Only in Natuurpunt
Aceria centaureae,Only in Natuurpunt
Aceria cephalonea,Only in Natuurpunt
Aceria cerrea,Only in Natuurpunt
Aceria dispar,Only in Natuurpunt
Aceria drabae,Only in Natuurpunt
Aceria echii,Only in Natuurpunt
Aceria erinea,Only in Natuurpunt
Aceria exigua,Only in Natuurpunt
Aceria fraxinivora,Only in Natuurpunt
Aceria galiobia,Only in Natuurpunt
Aceria genistae,Only in Natuurpunt
Aceria geranii,Only in Natuurpunt
Aceria heteronyx,Only in Natuurpunt
Aceria hippophaena,Only in Natuurpunt
Aceria ilicis,Only in Natuurpunt
Aceria iteina,Only in Natuurpunt
Aceria kuko,Only in Natuurpunt
Aceria labiatiflorae,Only in Natuurpunt
Aceria laticincta,Only in Natuurpunt
Aceria lycopersici,Only in Natuurpunt
Aceria macrochela,Only in Natuurpunt
Aceria macrocheluserinea,Only in Natuurpunt
Aceria macrorhyncha,Only in Natuurpunt
Aceria megacera,Only in Natuurpunt
Aceria myriadeum,Only in Natuurpunt
Aceria nervisequa,Only in Natuurpunt
Aceria obiones,Only in Natuurpunt
Aceria ononidis,Only in Natuurpunt
Aceria oxalidis,Only in Natuurpunt
Aceria pilosellae,Only in Natuurpunt
Aceria platanoidea,Only in Natuurpunt
Aceria plicator,Only in Natuurpunt
Aceria populi,Only in Natuurpunt
Aceria pseudoplatani,Only in Natuurpunt
Aceria sanguisorbae,Only in Natuurpunt
Aceria tenella,Only in Natuurpunt
Aceria tenuis,Only in Natuurpunt
Aceria thomasi,Only in Natuurpunt
Aceria trifolii,Only in Natuurpunt
Aceria tristriata,Only in Natuurpunt
Aceria tuberculata,Only in Natuurpunt
Aceria ulmi,Only in Natuurpunt
Aceria unguiculata,Only in Natuurpunt
Aceria varia,Only in Natuurpunt
Aceria vitalbae,Only in Natuurpunt
Acericecis campestre,Only in Natuurpunt
Acericerus heydenii,Only in Natuurpunt
Acericerus ribauti,Only in Natuurpunt
Acericerus vittifrons,Only in Natuurpunt
Acerocnema macrocera,Only in Natuurpunt
Acetropis carinata,Only in Natuurpunt
Acetropis gimmerthalii,Only in Natuurpunt
Achaius oratorius,Only in Natuurpunt
Achalcus cinereus,Only in Natuurpunt
Acharia stimulea,Only in Natuurpunt
Achatina achatina,Only in Natuurpunt
Achelia echinata,Only in Natuurpunt
Acheta domesticus,Only in Natuurpunt
Achillea filipendulina,Only in Natuurpunt
Achillea nobilis,Only in Natuurpunt
Achillea ptarmica,Only in Natuurpunt
Achlya flavicornis,Only in Natuurpunt
Achnatherum calamagrostis,Only in Natuurpunt
Achroia grisella,Only in Natuurpunt
Achroomyces disciformis,Only in Natuurpunt
Achyrolimonia decemmaculata,Only in Natuurpunt
Acicula fusca,Only in Natuurpunt
Acidia cognata,Only in Natuurpunt
Acilius canaliculatus,Only in Natuurpunt
Acilius sulcatus,Only in Natuurpunt
Acinia corniculata,Only in Natuurpunt
Acipenser gueldenstaedtii,Only in Natuurpunt
Acipenser sturio,Only in Natuurpunt
Acleris abietana,Only in Natuurpunt
Acleris aspersana,Only in Natuurpunt
Acleris bergmanniana,Only in Natuurpunt
Acleris comariana,Only in Natuurpunt
Acleris cristana,Only in Natuurpunt
Acleris emargana,Only in Natuurpunt
Acleris ferrugana,Only in Natuurpunt
Acleris forsskaleana,Only in Natuurpunt
Acleris hastiana,Only in Natuurpunt
Acleris holmiana,Only in Natuurpunt
Acleris hyemana,Only in Natuurpunt
Acleris kochiella,Only in Natuurpunt
Acleris laterana,Only in Natuurpunt
Acleris lipsiana,Only in Natuurpunt
Acleris literana,Only in Natuurpunt
Acleris logiana,Only in Natuurpunt
Acleris lorquiniana,Only in Natuurpunt
Acleris notana,Only in Natuurpunt
Acleris permutana,Only in Natuurpunt
Acleris rhombana,Only in Natuurpunt
Acleris roscidana,Only in Natuurpunt
Acleris rufana,Only in Natuurpunt
Acleris schalleriana,Only in Natuurpunt
Acleris shepherdana,Only in Natuurpunt
Acleris sparsana,Only in Natuurpunt
Acleris umbrana,Only in Natuurpunt
Acleris variegana,Only in Natuurpunt
Acletoxenus formosus,Only in Natuurpunt
Aclis walleri,Only in Natuurpunt
Aclista cantiana,Only in Natuurpunt
Aclypea opaca,Only in Natuurpunt
Acmella oleracea,Only in Natuurpunt
Acompocoris alpinus,Only in Natuurpunt
Acompsia cinerella,Only in Natuurpunt
Acompsia schmidtiellus,Only in Natuurpunt
Acompus rufipes,Only in Natuurpunt
Aconitum lycoctonum,Only in Natuurpunt
Aconitum napellus,Only in Natuurpunt
Aconogonon campanulatum,Only in Natuurpunt
Acontia lucida,Only in Natuurpunt
Acontia trabealis,Only in Natuurpunt
Acorus calamus,Only in Natuurpunt
Acridotheres cristatellus,Only in Natuurpunt
Acridotheres ginginianus,Only in Natuurpunt
Acridotheres tristis,Only in Natuurpunt
Acrobasis advenella,Only in Natuurpunt
Acrobasis consociella,Only in Natuurpunt
Acrobasis marmorea,Only in Natuurpunt
Acrobasis porphyrella,Only in Natuurpunt
Acrobasis repandana,Only in Natuurpunt
Acrobasis sodalella,Only in Natuurpunt
Acrobasis suavella,Only in Natuurpunt
Acrobasis tumidana,Only in Natuurpunt
Acrocephalus agricola,Only in Natuurpunt
Acrocephalus arundinaceus,Only in Natuurpunt
