Scientific Name,Status
Accipiter nisus,Already in app
Aegithalos caudatus,Already in app
Alauda arvensis,Already in app
Alcedo atthis,Already in app
Anser anser,Already in app
Buteo buteo,Already in app
Columba palumbus,Already in app
Corvus corax,Already in app
Corvus corone,Already in app
Cuculus canorus,Already in app
Dendrocopos major,Already in app
Emberiza citrinella,Already in app
Erithacus rubecula,Already in app
Falco peregrinus,Already in app
Falco tinnunculus,Already in app
Fringilla coelebs,Already in app
Parus major,Already in app
Passer domesticus,Already in app
Pica pica,Already in app
Picus viridis,Already in app
Streptopelia decaocto,Already in app
Sturnus vulgaris,Already in app
Turdus merula,Already in app
Turdus philomelos,Already in app
Vanellus vanellus,Already in app
