Scientific Name,Status
Accipiter gentilis,Missing from app
Acrocephalus palustris,Missing from app
Acrocephalus schoenobaenus,Missing from app
Acrocephalus scirpaceus,Missing from app
Aegolius funereus,Missing from app
Anas acuta,Missing from app
Anas crecca,Missing from app
Anser albifrons,Missing from app
Anser brachyrhynchus,Missing from app
Anthus trivialis,Missing from app
Ardea alba,Missing from app
Asio flammeus,Missing from app
Asio otus,Missing from app
Barn owl,Missing from app
Black stork,Missing from app
Blue tit,Missing from app
Bombycilla garrulus,Missing from app
Botaurus stellaris,Missing from app
Branta canadensis,Missing from app
Bubo bubo,Missing from app
Calidris pugnax,Missing from app
Caprimulgus europaeus,Missing from app
Carduelis carduelis,Missing from app
Certhia brachydactyla,Missing from app
Chloris chloris,Missing from app
Ciconia ciconia,Missing from app
Ciconia nigra,Missing from app
Circus aeruginosus,Missing from app
Circus pygargus,Missing from app
Clinclus clinclus,Missing from app
Coal tit,Missing from app
Common crane,Missing from app
Common swift,Missing from app
Corvus frugileus,Missing from app
Corvus monedula,Missing from app
Coturnix coturnix,Missing from app
Delichon urbicum,Missing from app
Dendrocoptes medius,Missing from app
Dryobates minor,Missing from app
Dryocopus martius,Missing from app
Egretta garzetta,Missing from app
Emberiza calandra,Missing from app
Emberiza schoeniclus,Missing from app
Eurasian curlew,Missing from app
Eurasian siskin,Missing from app
Eurasian skylark,Missing from app
Eurasian wren,Missing from app
European goldfinch,Missing from app
European greenfinch,Missing from app
Falco columbarius,Missing from app
Falco subbuteo,Missing from app
Fringilla montifringilla,Missing from app
Gallinago gallinago,Missing from app
Garullus glandarius,Missing from app
Great tit,Missing from app
Grus grus,Missing from app
Haliaeetus albicilla,Missing from app
Hippolais icterina,Missing from app
Honey buzzard,Missing from app
House martin,Missing from app
House sparrow,Missing from app
Lanius collurio,Missing from app
Limosa limosa,Missing from app
Little owl,Missing from app
Lophophanus cristatus,Missing from app
Luscinia megarhynchos,Missing from app
Mareca penelope,Missing from app
Mareca strepera,Missing from app
Mergellus albellus,Missing from app
Milvus milvus,Missing from app
Mistle thrush,Missing from app
Motacilla cinerea,Missing from app
Motacilla flava,Missing from app
Numenius arquata,Missing from app
Oriolus oriolus,Missing from app
Pandion haliaetus,Missing from app
Parus caeruleus,Missing from app
Passer montanus,Missing from app
Perdix perdix,Missing from app
Periparus ater,Missing from app
Pernis apivorus,Missing from app
Phasianus colchicus,Missing from app
Phylloscopus collybita,Missing from app
Platalea leucorodia,Missing from app
Podiceps cristatus,Missing from app
Prunella modularis,Missing from app
Psittacula krameri,Missing from app
Red kite,Missing from app
Regulus regulus,Missing from app
Sand martin,Missing from app
Saxicola rubicola,Missing from app
Scolopax rusticola,Missing from app
Spatula clypeata,Missing from app
Spatula querquedula,Missing from app
Spinus spinus,Missing from app
Strix aluco,Missing from app
Sylvia atricapilla,Missing from app
Sylvia borin,Missing from app
Troglodytes troglodytes,Missing from app
Turdus iliacus,Missing from app
Turdus pilaris,Missing from app
Turdus viscivorus,Missing from app
Tyto alba,Missing from app
Vrij algemeen,Missing from app
Wanneer actief,Missing from app
Western jackdaw,Missing from app
White stork,Missing from app
