Scientific Name,Status
Accipiter nisus,In both app and website
Acer pseudoplatanus,In both app and website
Achillea millefolium,In both app and website
Aegithalos caudatus,In both app and website
Aeshna cyanea,In both app and website
Aglais io,In both app and website
Ajuga reptans,In both app and website
Alauda arvensis,In both app and website
Alcedo atthis,In both app and website
Aleuria aurantia,In both app and website
Allium ursinum,In both app and website
Alnus glutinosa,In both app and website
Amanita muscaria,In both app and website
Anemone nemorosa,In both app and website
Anguis fragilis,In both app and website
Anser anser,In both app and website
Ardea cinerea,In both app and website
Auricularia auricula-judae,In both app and website
Bellis perennis,In both app and website
Betula pendula,In both app and website
Boletus edulis,In both app and website
Bufo bufo,In both app and website
Buteo buteo,In both app and website
Caltha palustris,In both app and website
Capreolus capreolus,In both app and website
Carpinus betulus,In both app and website
Castor fiber,In both app and website
Centaurea jacea,In both app and website
Columba palumbus,In both app and website
Coprinus comatus,In both app and website
Corvus corax,In both app and website
Corvus corone,In both app and website
Corylus avellana,In both app and website
Crataegus monogyna,In both app and website
Cuculus canorus,In both app and website
Dactylorhiza maculata,In both app and website
Dendrocopos major,In both app and website
Dipsacus fullonum,In both app and website
Emberiza citrinella,In both app and website
Episyrphus balteatus,In both app and website
Eptesicus serotinus,In both app and website
Erinaceus europaeus,In both app and website
Erithacus rubecula,In both app and website
Fagus sylvatica,In both app and website
Falco peregrinus,In both app and website
Falco tinnunculus,In both app and website
Ficaria verna,In both app and website
Fistulina hepatica,In both app and website
Flammulina velutipes,In both app and website
Formica rufa,In both app and website
Fragaria vesca,In both app and website
Fraxinus excelsior,In both app and website
Fringilla coelebs,In both app and website
Gonepteryx rhamni,In both app and website
Hedera helix,In both app and website
Hirundo rustica,In both app and website
Hyacinthoides non-scripta,In both app and website
Hylotelephium telephium,In both app and website
Hypholoma fasciculare,In both app and website
Hypochaeris radicata,In both app and website
Laccaria amethystina,In both app and website
Leccinum scabrum,In both app and website
Lepus europaeus,In both app and website
Leucanthemum vulgare,In both app and website
Lotus corniculatus,In both app and website
Lucanus cervus,In both app and website
Macroglossum stellatarum,In both app and website
Macrolepiota procera,In both app and website
Martes foina,In both app and website
Matricaria chamomilla,In both app and website
Meles meles,In both app and website
Morchella esculenta,In both app and website
Mustela erminea,In both app and website
Mustela nivalis,In both app and website
Oryctolagus cuniculus,In both app and website
Papaver rhoeas,In both app and website
Papilio machaon,In both app and website
Parus major,In both app and website
Passer domesticus,In both app and website
Pica pica,In both app and website
Picea abies,In both app and website
Picus viridis,In both app and website
Pilosella officinarum,In both app and website
Pinus sylvestris,In both app and website
Pleurotus ostreatus,In both app and website
Polygonatum multiflorum,In both app and website
Polyommatus icarus,In both app and website
Prunella vulgaris,In both app and website
Prunus spinosa,In both app and website
Pulmonaria officinalis,In both app and website
Quercus petraea,In both app and website
Quercus robur,In both app and website
Rana temporaria,In both app and website
Ranunculus acris,In both app and website
Salamandra salamandra,In both app and website
Salix alba,In both app and website
Salix caprea,In both app and website
Scabiosa columbaria,In both app and website
Sciurus vulgaris,In both app and website
Sorbus aucuparia,In both app and website
Streptopelia decaocto,In both app and website
Sturnus vulgaris,In both app and website
Sus scrofa,In both app and website
Talpa europaea,In both app and website
Taraxacum officinale,In both app and website
Tilia cordata,In both app and website
Tilia platyphyllos,In both app and website
Trametes versicolor,In both app and website
Tremella mesenterica,In both app and website
Trifolium pratense,In both app and website
Trifolium repens,In both app and website
Turdus merula,In both app and website
Turdus philomelos,In both app and website
Urtica dioica,In both app and website
Vanellus vanellus,In both app and website
Vanessa atalanta,In both app and website
Veronica chamaedrys,In both app and website
Vespa crabro,In both app and website
Vulpes vulpes,In both app and website
Xylaria polymorpha,In both app and website
