Scientific Name,Status
Abies alba,Only in app
Acer campestre,Only in app
Acer platanoides,Only in app
Acherontia atropos,Only in app
Acinos arvensis,Only in app
Adalia bipunctata,Only in app
Aegopodium podagraria,Only in app
Aesculus hippocastanum,Only in app
Aeshna juncea,Only in app
Agaricus campestris,Only in app
Agrimonia eupatoria,Only in app
Alchemilla vulgaris,Only in app
Alliaria petiolata,Only in app
Allium oleraceum,Only in app
Alnus incana,Only in app
Amaranthus retroflexus,Only in app
Anas platyrhynchos,Only in app
Anethum graveolens,Only in app
Angelica sylvestris,Only in app
Anthericum ramosum,Only in app
Anthocharis cardamines,Only in app
Anthriscus sylvestris,Only in app
Anthus pratensis,Only in app
Anthyllis vulneraria,Only in app
Apis mellifera,Only in app
Apus apus,Only in app
Arctium lappa,Only in app
Arctium minus,Only in app
Armillaria mellea,Only in app
Armoracia rusticana,Only in app
Artemisia absinthium,Only in app
Artemisia vulgaris,Only in app
Asparagus officinalis,Only in app
Aythya fuligula,Only in app
Barbarea vulgaris,Only in app
Berberis vulgaris,Only in app
Beta vulgaris subsp. vulgaris,Only in app
Betonica officinalis,Only in app
Betula pubescens,Only in app
Bistorta officinalis,Only in app
Bombus pascuorum,Only in app
Bombus terrestris,Only in app
Brassica rapa,Only in app
Buddleja davidii,Only in app
Bunium bulbocastanum,Only in app
Buxus sempervirens,Only in app
Calluna vulgaris,Only in app
Calystegia sepium,Only in app
Campanula patula,Only in app
Cantharellus cibarius,Only in app
Capsella bursa-pastoris,Only in app
Cardamine amara,Only in app
Cardamine hirsuta,Only in app
Cardamine pratensis,Only in app
Carduus crispus,Only in app
Carduus nutans,Only in app
Carum carvi,Only in app
Castanea sativa,Only in app
Centaurea cyanus,Only in app
Centaurea scabiosa,Only in app
Cerastium fontanum,Only in app
Chenopodium album,Only in app
Chenopodium bonus-henricus,Only in app
Cichorium endivia,Only in app
Cichorium intybus,Only in app
Circaea lutetiana,Only in app
Cirsium vulgare,Only in app
Claytonia perfoliata,Only in app
Clematis vitalba,Only in app
Coccinella septempunctata,Only in app
Cochlearia officinalis,Only in app
Consolida ajacis,Only in app
Convallaria majalis,Only in app
Convolvulus arvensis,Only in app
Cornus mas,Only in app
Cornus sanguinea,Only in app
Crepis capillaris,Only in app
Crocus vernus,Only in app
Cyanistes caeruleus,Only in app
Cygnus olor,Only in app
Daldinia concentrica,Only in app
Datura stramonium,Only in app
Daucus carota,Only in app
Digitalis purpurea,Only in app
Diplotaxis tenuifolia,Only in app
Echium vulgare,Only in app
Elymus repens,Only in app
Epilobium angustifolium,Only in app
Equisetum arvense,Only in app
Erica tetralix,Only in app
Erigeron canadensis,Only in app
Euphorbia amygdaloides,Only in app
Euphorbia cyparissias,Only in app
Euphorbia helioscopia,Only in app
Fagopyrum esculentum,Only in app
Filipendula ulmaria,Only in app
Foeniculum vulgare,Only in app
Forficula auricularia,Only in app
Fumaria officinalis,Only in app
Galanthus nivalis,Only in app
Galeopsis tetrahit,Only in app
Galinsoga quadriradiata,Only in app
Galium aparine,Only in app
Galium mollugo,Only in app
Galium odoratum,Only in app
Galium verum,Only in app
Gallinula chloropus,Only in app
Garrulus glandarius,Only in app
Geranium pratense,Only in app
Geranium robertianum,Only in app
Geum urbanum,Only in app
Glechoma hederacea,Only in app
Helianthus tuberosus,Only in app
Heracleum sphondylium,Only in app
Hippophae rhamnoides,Only in app
Humulus lupulus,Only in app
Hypericum perforatum,Only in app
Ilex aquifolium,Only in app
Impatiens glandulifera,Only in app
Impatiens noli-tangere,Only in app
Inula helenium,Only in app
Iris pseudacorus,Only in app
Juglans regia,Only in app
Juniperus communis,Only in app
Knautia arvensis,Only in app
Lacerta agilis,Only in app
Lactuca serriola,Only in app
Lamiastrum galeobdolon,Only in app
Lamium album,Only in app
Lapsana communis,Only in app
Larix decidua,Only in app
Larus argentatus,Only in app
Lathyrus pratensis,Only in app
Lemna minor,Only in app
Leontodon autumnalis,Only in app
Lepidium campestre,Only in app
Ligustrum vulgare,Only in app
Limenitis camilla,Only in app
Linum usitatissimum,Only in app
Lonicera caerulea,Only in app
Lychnis flos-cuculi,Only in app
Lycoperdon perlatum,Only in app
Lysimachia nummularia,Only in app
Lysimachia vulgaris,Only in app
Lythrum salicaria,Only in app
Maianthemum bifolium,Only in app
Malva sylvestris,Only in app
Matricaria discoidea,Only in app
Medicago lupulina,Only in app
Medicago sativa,Only in app
Melilotus officinalis,Only in app
Mentha spicata,Only in app
Mespilus germanica,Only in app
Meum athamanticum,Only in app
Micromys minutus,Only in app
Motacilla alba,Only in app
Mycelis muralis,Only in app
Myosotis arvensis,Only in app
Myosoton aquaticum,Only in app
Myrrhis odorata,Only in app
Narcissus poeticus,Only in app
Nasturtium officinale,Only in app
Natrix natrix,Only in app
Nepeta cataria,Only in app
Nuphar lutea,Only in app
Nymphaea alba,Only in app
Nymphoides peltata,Only in app
Ocimum basilicum,Only in app
Oenothera biennis,Only in app
Ononis spinosa,Only in app
Origanum vulgare,Only in app
Oxalis acetosella,Only in app
Palomena prasina,Only in app
Parthenocissus inserta,Only in app
Pastinaca sativa,Only in app
Persicaria hydropiper,Only in app
Persicaria lapathifolia,Only in app
Persicaria maculosa,Only in app
Phoenicurus ochruros,Only in app
Phragmites australis,Only in app
Physalis alkekengi,Only in app
Phyteuma spicatum,Only in app
Pieris brassicae,Only in app
Pimpinella saxifraga,Only in app
Pinus nigra,Only in app
Plantago lanceolata,Only in app
Plantago major,Only in app
Polygonum aviculare,Only in app
Populus alba,Only in app
Populus tremula,Only in app
Portulaca oleracea,Only in app
Potamogeton crispus,Only in app
Potentilla anserina,Only in app
Potentilla erecta,Only in app
Potentilla reptans,Only in app
Primula veris,Only in app
Prunus avium,Only in app
Prunus mahaleb,Only in app
Prunus padus,Only in app
Pseudotsuga menziesii,Only in app
Pyrrhocoris apterus,Only in app
Pyrus pyraster,Only in app
Quercus ilex,Only in app
Quercus pubescens,Only in app
Raphanus raphanistrum,Only in app
Reseda lutea,Only in app
Reseda luteola,Only in app
Reynoutria japonica,Only in app
Rhinanthus minor,Only in app
Ribes alpinum,Only in app
